GEO_ID,NAME,DP05_0033E,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0044E,DP05_0071E,,
id,Geographic Area Name,total population,white,black or african american,american indian and alaska native,asian,hispanic latino,,
310M400US49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",538952,457985,55632,925,4713,20171,,
310M400US10700,"Albertville, AL Micro Area",96109,87628,3727,269,385,13768,,
310M400US10740,"Albuquerque, NM Metro Area",916791,718012,24752,52487,21431,451627,,
310M400US12020,"Athens-Clarke County, GA Metro Area",211802,153631,42677,326,6914,18296,,
310M400US12260,"Augusta-Richmond County, GA-SC Metro Area",605903,352191,217583,908,13020,34022,,
310M400US12700,"Barnstable Town, MA Metro Area",213413,195181,8036,1538,3229,6833,,
310M400US13020,"Bay City, MI Metro Area",103923,98807,1851,353,473,5636,,
310M400US13220,"Beckley, WV Metro Area",117272,N,N,N,N,837,,
310M400US13780,"Binghamton, NY Metro Area",240219,209832,11073,1133,9635,9365,,
310M400US15180,"Brownsville-Harlingen, TX Metro Area",423908,402981,2917,535,3630,380728,,
310M400US15260,"Brunswick, GA Metro Area",116864,82755,29651,183,1442,6107,,
310M400US15980,"Cape Coral-Fort Myers, FL Metro Area",754610,632400,68105,614,12403,165233,,
310M400US16580,"Champaign-Urbana, IL Metro Area",237356,175685,28044,182,23862,13814,,
310M400US16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9497790,6266286,1553178,29510,646746,2128297,,
310M400US17140,"Cincinnati, OH-KY-IN Metro Area",2189442,1776549,266491,2862,60327,73212,,
310M400US17220,"Clarksburg, WV Micro Area",89718,N,N,N,N,1057,,
310M400US17780,"College Station-Bryan, TX Metro Area",265024,208525,31255,424,14767,67658,,
310M400US18300,"Coos Bay, OR Micro Area",64389,57168,125,2397,886,4284,,
310M400US19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7540371,5102978,1197972,45063,534650,2189777,,
310M400US19380,"Dayton, OH Metro Area",806548,629667,122754,2071,18874,23229,,
310M400US19740,"Denver-Aurora-Lakewood, CO Metro Area",2932415,2379650,167061,23705,124068,680017,,
310M400US20260,"Duluth, MN-WI Metro Area",278799,255700,4112,6395,2181,4876,,
310M400US21140,"Elkhart-Goshen, IN Metro Area",205560,175515,9586,690,1849,33502,,
310M400US22660,"Fort Collins, CO Metro Area",350518,320513,3523,1972,7779,40855,,
310M400US23060,"Fort Wayne, IN Metro Area",437631,350733,43570,1077,15230,30200,,
310M400US23180,"Frankfort, KY Micro Area",73478,62339,5370,0,698,1978,,
310M400US23700,"Gallup, NM Micro Area",72290,8544,298,57633,797,10419,,
310M400US24220,"Grand Forks, ND-MN Metro Area",102299,86932,4252,2653,2650,5171,,
310M400US24260,"Grand Island, NE Metro Area",85104,71364,1334,99,619,18060,,
310M400US24540,"Greeley, CO Metro Area",314305,284731,4398,1447,4725,93184,,
310M400US24640,"Greenfield Town, MA Micro Area",70963,65352,1107,276,1143,2956,,
310M400US27740,"Johnson City, TN Metro Area",203921,189135,6296,540,2479,6802,,
310M400US27780,"Johnstown, PA Metro Area",131730,123050,4361,130,444,2182,,
310M400US29460,"Lakeland-Winter Haven, FL Metro Area",708009,541001,107044,2670,13061,167229,,
310M400US29620,"Lansing-East Lansing, MI Metro Area",481893,386693,43370,1498,24578,32685,,
310M400US29860,"Laurel, MS Micro Area",81762,N,N,N,N,3454,,
310M400US31180,"Lubbock, TX Metro Area",319995,261301,22273,2704,7366,116198,,
310M400US31340,"Lynchburg, VA Metro Area",265405,206027,44367,875,4028,7440,,
310M400US33140,"Michigan City-La Porte, IN Metro Area",110007,90465,12635,551,69,7524,,
310M400US33700,"Modesto, CA Metro Area",549815,434015,16865,5011,28148,258334,,
310M400US33860,"Montgomery, AL Metro Area",373401,183643,168341,936,8497,11528,,
310M400US34580,"Mount Vernon-Anacortes, WA Metro Area",128206,102150,972,3225,3195,23928,,
310M400US35980,"Norwich-New London, CT Metro Area",266784,212183,17171,1346,11344,29186,,
310M400US36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2572962,1783360,429750,8608,112167,809852,,
310M400US36780,"Oshkosh-Neenah, WI Metro Area",171020,156662,3742,966,4991,7183,,
310M400US39060,"Pottsville, PA Micro Area",142067,132576,5390,373,714,6787,,
310M400US39460,"Punta Gorda, FL Metro Area",184998,167034,9781,224,2517,13711,,
310M400US40580,"Rocky Mount, NC Metro Area",146021,69112,67470,767,1005,9139,,
310M400US40980,"Saginaw, MI Metro Area",190800,143716,36459,590,2519,16303,,
310M400US41700,"San Antonio-New Braunfels, TX Metro Area",2518036,2074299,174071,16274,65750,1399600,,
310M400US42140,"Santa Fe, NM Metro Area",150056,124979,1781,4554,1720,76649,,
310M400US43100,"Sheboygan, WI Metro Area",115456,102997,2533,655,6745,7507,,
310M400US43140,"Shelby, NC Micro Area",97645,71358,21214,240,1103,3573,,
310M400US43420,"Sierra Vista-Douglas, AZ Metro Area",126770,109392,4814,1738,2511,45172,,
310M400US44220,"Springfield, OH Metro Area",134585,117175,11167,126,726,4732,,
310M400US44300,"State College, PA Metro Area",162805,142490,6076,63,11373,4945,,
310M400US44700,"Stockton-Lodi, CA Metro Area",752660,436288,54996,4560,120792,315571,,
310M400US44980,"Sunbury, PA Micro Area",91083,85247,2570,0,321,3279,,
310M400US45460,"Terre Haute, IN Metro Area",168679,151295,9092,67,2149,3698,,
310M400US46140,"Tulsa, OK Metro Area",993928,714507,79861,72320,25724,101146,,
310M400US46300,"Twin Falls, ID Metro Area",109264,99802,190,412,2172,21532,,
310M400US47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1729114,1010106,529191,5381,70831,120076,,
310M400US47580,"Warner Robins, GA Metro Area",193729,111003,68694,640,5646,12813,,
310M400US41900,"San Germán, PR Metro Area",118510,N,N,N,N,117500,,
310M400US10540,"Albany, OR Metro Area",127335,110981,858,716,1116,11838,,
310M400US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",842913,701149,50234,2340,25127,149261,,
310M400US11020,"Altoona, PA Metro Area",122492,N,N,N,N,1599,,
310M400US11260,"Anchorage, AK Metro Area",399148,270251,17580,30339,30216,32554,,
310M400US11980,"Athens, TX Micro Area",82299,74444,5237,13,440,10961,,
310M400US12420,"Austin-Round Rock, TX Metro Area",2168316,1628254,159573,14195,130509,707964,,
310M400US12620,"Bangor, ME Metro Area",151096,143056,1690,2037,1688,2115,,
310M400US12940,"Baton Rouge, LA Metro Area",831310,486471,292933,1256,15762,33707,,
310M400US12980,"Battle Creek, MI Metro Area",134487,109046,13948,789,3634,7187,,
310M400US13740,"Billings, MT Metro Area",171894,155187,845,8000,1019,9808,,
310M400US13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",181926,162644,7687,494,7603,5721,,
310M400US17020,"Chico, CA Metro Area",231256,186452,4019,2274,10017,38528,,
310M400US17340,"Clearlake, CA Micro Area",64382,47341,1546,3040,622,13717,,
310M400US17660,"Coeur d'Alene, ID Metro Area",161505,151779,445,2159,1766,7734,,
310M400US18180,"Concord, NH Micro Area",151132,142580,2033,388,3026,3402,,
310M400US18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",278644,224954,23641,1125,7695,24645,,
310M400US19500,"Decatur, IL Metro Area",104712,81660,17609,149,1226,2459,,
310M400US20740,"Eau Claire, WI Metro Area",168669,157055,1267,182,5609,3844,,
310M400US21020,"Elizabeth City, NC Micro Area",66815,N,N,N,N,2936,,
310M400US22420,"Flint, MI Metro Area",406892,304719,80771,1523,4031,14198,,
310M400US22900,"Fort Smith, AR-OK Metro Area",282318,211658,11111,17096,8045,29073,,
310M400US23420,"Fresno, CA Metro Area",994400,643787,45504,15894,103204,531677,,
310M400US24140,"Goldsboro, NC Metro Area",123248,79135,37652,22,1667,15211,,
310M400US24340,"Grand Rapids-Wyoming, MI Metro Area",1069405,896381,70295,4078,29387,103298,,
310M400US24580,"Green Bay, WI Metro Area",321591,284270,7199,6511,8557,24404,,
310M400US24940,"Greenwood, SC Micro Area",95654,61887,30898,0,467,4879,,
310M400US25180,"Hagerstown-Martinsburg, MD-WV Metro Area",268049,225868,25716,184,3702,13540,,
310M400US25260,"Hanford-Corcoran, CA Metro Area",151366,96634,10428,1502,6833,83200,,
310M400US25420,"Harrisburg-Carlisle, PA Metro Area",574659,455688,67498,1066,23896,38094,,
310M400US25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1206300,907869,139766,2517,62805,183827,,
310M400US25620,"Hattiesburg, MS Metro Area",149119,101054,43553,414,1452,4608,,
310M400US26380,"Houma-Thibodaux, LA Metro Area",209136,156358,33831,8625,1654,9922,,
310M400US26620,"Huntsville, AL Metro Area",462693,320825,102045,1903,10680,24487,,
310M400US27140,"Jackson, MS Metro Area",583080,277066,289986,1013,6356,14006,,
310M400US27260,"Jacksonville, FL Metro Area",1534701,1062395,325384,4804,58444,141094,,
310M400US27600,"Jefferson, GA Micro Area",70422,61209,4893,19,1062,5731,,
310M400US28660,"Killeen-Temple, TX Metro Area",451681,294601,105518,2687,11589,108745,,
310M400US28900,"Klamath Falls, OR Micro Area",67653,57992,511,3599,613,9090,,
310M400US29940,"Lawrence, KS Metro Area",121436,98730,5261,4196,6983,7739,,
310M400US30620,"Lima, OH Metro Area",102663,84580,11915,359,850,3248,,
310M400US30700,"Lincoln, NE Metro Area",333964,287282,12563,2154,12759,23591,,
310M400US32780,"Medford, OR Metro Area",219564,200335,2167,2877,3567,29042,,
310M400US33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",1576113,1132203,258372,6184,61615,171951,,
310M400US33740,"Monroe, LA Metro Area",176805,107230,62502,73,1724,4657,,
310M400US35840,"North Port-Sarasota-Bradenton, FL Metro Area",821573,725527,51818,1588,16826,105923,,
310M400US36980,"Owensboro, KY Metro Area",119691,108363,4455,177,1978,3325,,
310M400US37020,"Owosso, MI Micro Area",68192,65441,644,60,119,2013,,
310M400US37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",596849,491473,57559,1788,14941,63961,,
310M400US38220,"Pine Bluff, AR Metro Area",90306,43430,44582,319,659,2697,,
310M400US38820,"Port Angeles, WA Micro Area",76737,67645,965,3491,1516,4933,,
310M400US39580,"Raleigh, NC Metro Area",1362540,900618,270574,3351,79832,146870,,
310M400US39900,"Reno, NV Metro Area",471265,357500,11785,7333,23807,115795,,
