GEO_ID,Total_Workers,Male_Workers,Female_Workers,Private_Auto,Public_Transport,Walks,Bike,Other,Works_Home,Median_Income,Mean_Income,Unemployment_Rate,City_Code,Population,City,State_Abbr,City_State,Total_Population over 25 years old,Less than 9th Grade,9th to 12th (no diploma),High School Diploma,Some College (no degree),Associate Degree,Bachelor Degree,Graduate/Proffesional Degree,High School Graduate or Higher,Bachelor Degree or Higher,White,Black/African American,American Indian & Alaska Native,Asian,Some other race,Hispanic/Latino,Median_value,State
310M400US26420,3295316,1829640,1465676,90.4,2,0.9,0.2,1.5,4.9,65394,94227,5.4,"Houston-The Woodlands-Sugar Land, TX Metro Area",6997384,Houston-The Woodlands-Sugar Land,TX,"Houston-The Woodlands-Sugar Land,TX",4507266,393800,341825,1045481,923075,312734,948842,541509,3771641,1490351,4463287,1219918,29224,552614,559055,2632586,225200,Texas
310M400US47380,119281,61810,57471,92.3,0.4,2.7,0.1,1.2,3.3,47328,63729,3.7,"Waco, TX Metro Area",270566,Waco,TX,"Waco,TX",166657,9294,15774,45774,37997,17840,25860,14118,141589,39978,215378,40010,871,4634,4286,70040,171800,Texas
310M400US18580,199594,111159,88435,93.7,1.1,1.2,0,0.9,3.1,54264,74641,6,"Corpus Christi, TX Metro Area",452927,Corpus Christi,TX,"Corpus Christi,TX",298400,22501,29540,86878,72767,23889,40928,21897,246359,62825,412292,15022,1243,8639,9257,276687,167900,Texas
310M400US32220,N,N,N,N,N,N,N,N,N,50561,68916,4.8,"Marshall, TX Micro Area",66726,Marshall,TX,"Marshall,TX",42624,2434,3693,15231,9649,3104,6047,2466,36497,8513,N,N,N,N,N,9047,165300,Texas
310M400US41660,56743,30370,26373,89.5,0,5.7,0.6,1.5,2.7,51851,70378,4.8,"San Angelo, TX Metro Area",119310,San Angelo,TX,"San Angelo,TX",76521,3441,5323,25526,18471,5282,13197,5281,67757,18478,106378,4564,534,1917,3823,48103,163100,Texas
310M400US45500,57891,29305,28586,94.9,1.5,0.6,0.1,1.2,1.8,45212,65296,5.8,"Texarkana, TX-AR Metro Area",151675,Texarkana,TX,"Texarkana,TX",102977,3329,7925,35049,27826,9025,13781,6042,91723,19823,104723,37105,1234,1603,3616,9011,140600,Texas
310M400US29700,109293,60549,48744,91.2,1.7,1.3,0.2,2.1,3.5,46862,62301,5.3,"Laredo, TX Metro Area",275910,Laredo,TX,"Laredo,TX",153546,28690,23691,32814,26579,11283,22514,7975,101165,30489,265995,1606,116,1591,5124,263371,144300,Texas
310M400US46340,102703,53821,48882,92.6,0.5,0.5,0.1,1.2,5,58226,80432,5.5,"Tyler, TX Metro Area",230221,Tyler,TX,"Tyler,TX",150909,9204,11759,34354,38958,13935,27357,15342,129946,42699,176394,39113,1010,4321,3640,45738,174400,Texas
310M400US47020,42822,22634,20188,91,1.3,2.8,0.3,0.5,4.2,51683,72048,6.1,"Victoria, TX Metro Area",99047,Victoria,TX,"Victoria,TX",65294,4126,5413,20301,15899,6277,9367,3911,55755,13278,86919,5717,167,1367,1727,45184,157300,Texas
310M400US13140,167515,90502,77013,95.2,0.5,0.8,0,1.1,2.3,50378,70307,4,"Beaumont-Port Arthur, TX Metro Area",410233,Beaumont-Port Arthur,TX,"Beaumont-Port Arthur,TX",272554,16818,24329,94043,64655,23055,36070,13584,231407,49654,284703,98069,947,12050,6541,65272,153500,Texas
